ZB_1	ZB_2	ZB_4	ZB_5	ZB_9	ZB_11	ZB_14	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_25	ZB_28	ZB_29	ZB_30	ZB_31	ZB_35	ZB_36	ZB_37	ZB_39	ZB_40	ZB_42	ZB_45	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_53	ZB_54	ZB_55	ZB_56	ZB_58	ZB_60	ZB_61
ZB_1	0	0.753331137527323	0.753331137527323	0.840417000801925	0.916572338909152	0.753331137527323	0.69466271312083	0.920523982587164	0.70782053555595	0.934195297774544	0.840417000801925	0.753331137527323	0.854276508494435	0.920523982587164	1	0.904675225138916	0.900708512124539	1	0.840417000801925	0.753331137527323	1	0.727588373400351	0.917816139423474	0.654634637152559	0.706048171275647	0.919641414957196	0.926241660489251	0.917093696621256	0.934195297774544	0.753331137527323	1	0.924706772606886	0.861911040177642	1	0.727588373400351	0.840417000801925	0.605384173213259	0.753331137527323
ZB_2	0.753331137527323	0	0	0.813695840943797	0.472856843429051	0	0.192143006856903	0.437344671677097	0.155762493637153	0.281582178039944	0.813695840943797	0	0.778183669191844	0.437344671677097	0.773273048477408	0.561996586519747	0.586968889421206	0.863640446746714	0.813695840943797	0	0.690181752852053	0.0944995059436476	0.462047489295446	0.285774171332754	0.160852771206995	0.445578944216546	0.379225678953199	0.468365422043896	0.281582178039944	0	0.601042009761356	0.395694224032099	0.7555768482199	0.659161002485253	0.0944995059436476	0.813695840943797	0.374913914423451	0
ZB_4	0.753331137527323	0	0	0.813695840943797	0.472856843429051	0	0.192143006856903	0.437344671677097	0.155762493637153	0.281582178039944	0.813695840943797	0	0.778183669191844	0.437344671677097	0.773273048477408	0.561996586519747	0.586968889421206	0.863640446746714	0.813695840943797	0	0.690181752852053	0.0944995059436476	0.462047489295446	0.285774171332754	0.160852771206995	0.445578944216546	0.379225678953199	0.468365422043896	0.281582178039944	0	0.601042009761356	0.395694224032099	0.7555768482199	0.659161002485253	0.0944995059436476	0.813695840943797	0.374913914423451	0
ZB_5	0.840417000801925	0.813695840943797	0.813695840943797	0	0.646577676796365	0.813695840943797	0.769384729429207	0.668884040232026	0.779322574924632	0.740674363355979	0	0.813695840943797	0.160097192224622	0.668884040232026	1	0.574651353568499	0.548934319269248	1	0	0.813695840943797	1	0.79425283555438	0.801506292736102	0.7391523078858	0.867530835620515	0.80677213968744	0.69988423692842	0.649563503238524	0.740674363355979	0.813695840943797	1	0.69170548013081	0.237780227857405	1	0.79425283555438	0	0.701954397394137	0.813695840943797
ZB_9	0.916572338909152	0.472856843429051	0.472856843429051	0.646577676796365	0	0.472856843429051	0.347479614529281	0.0631153211643872	0.37559851037418	0.266244321260368	0.646577676796365	0.472856843429051	0.668884040232026	0.0631153211643872	0.569894916216984	0.169099687588753	0.216472593013348	0.93803316399885	0.646577676796365	0.472856843429051	0.569937583137215	0.417843325286862	0.517442587421331	0.261937701756592	0.491121325352998	0.257717538105344	0.150829635346325	0.294424078718889	0.266244321260368	0.472856843429051	0.417630205668679	0.425082315675405	0.681673999795355	0.353422323203635	0.417843325286862	0.646577676796365	0.38674380581059	0.472856843429051
ZB_11	0.753331137527323	0	0	0.813695840943797	0.472856843429051	0	0.192143006856903	0.437344671677097	0.155762493637153	0.281582178039944	0.813695840943797	0	0.778183669191844	0.437344671677097	0.773273048477408	0.561996586519747	0.586968889421206	0.863640446746714	0.813695840943797	0	0.690181752852053	0.0944995059436476	0.462047489295446	0.285774171332754	0.160852771206995	0.445578944216546	0.379225678953199	0.468365422043896	0.281582178039944	0	0.601042009761356	0.395694224032099	0.7555768482199	0.659161002485253	0.0944995059436476	0.813695840943797	0.374913914423451	0
ZB_14	0.69466271312083	0.192143006856903	0.192143006856903	0.769384729429207	0.347479614529281	0.192143006856903	0	0.303521126760563	0.169133262543138	0.314440660031084	0.769384729429207	0.192143006856903	0.725426241660489	0.303521126760563	0.71934766493699	0.457820607857672	0.488732394366197	0.957243477398234	0.769384729429207	0.192143006856903	0.616493699036323	0.10783373565689	0.5137396250124	0.11590066716086	0.181111735723025	0.313713862120089	0.231578947368421	0.341919940696812	0.314440660031084	0.192143006856903	0.506152705707932	0.440461624946265	0.697442550037065	0.578094885100074	0.10783373565689	0.769384729429207	0.226241660489251	0.192143006856903
ZB_16	0.920523982587164	0.437344671677097	0.437344671677097	0.668884040232026	0.0631153211643872	0.437344671677097	0.303521126760563	0	0.333534314594786	0.216813237194182	0.668884040232026	0.437344671677097	0.605768719067639	0	0.597041136714385	0.221542227662179	0.265925176946411	0.941365862506802	0.668884040232026	0.437344671677097	0.594539841790469	0.378625045468073	0.468011503355145	0.296896840928152	0.451903045534209	0.200511286899479	0.0936233841404592	0.237217827513023	0.216813237194182	0.437344671677097	0.450945398417905	0.375651231609219	0.69988423692842	0.394231280932361	0.378625045468073	0.668884040232026	0.415791365469867	0.437344671677097
ZB_17	0.70782053555595	0.155762493637153	0.155762493637153	0.779322574924632	0.37559851037418	0.155762493637153	0.169133262543138	0.333534314594786	0	0.437344671677097	0.779322574924632	0.155762493637153	0.737258379145239	0.333534314594786	0.731441744990247	0.481184607199858	0.510764319914879	0.95889496439471	0.779322574924632	0.155762493637153	0.721064507565702	0.250261999580801	0.617809982932599	0.153998935981557	0.316615264844148	0.449993363419166	0.376460047783382	0.475245553490842	0.437344671677097	0.155762493637153	0.622279001858243	0.551456717669252	0.793535970268118	0.596275935449548	0.250261999580801	0.779322574924632	0.259585032807235	0.155762493637153
ZB_18	0.934195297774544	0.281582178039944	0.281582178039944	0.740674363355979	0.266244321260368	0.281582178039944	0.314440660031084	0.216813237194182	0.437344671677097	0	0.740674363355979	0.281582178039944	0.691243279289793	0.216813237194182	0.684407952319426	0.390322177301713	0.425082315675405	0.810194640103364	0.740674363355979	0.281582178039944	0.568749218522069	0.206606924374194	0.251198266160964	0.417843325286862	0.279884924440329	0.228274913516442	0.135914641770516	0.259992497811862	0	0.281582178039944	0.444671362480724	0.158837994415038	0.659775767932314	0.525569957904389	0.206606924374194	0.740674363355979	0.516285837108561	0.281582178039944
