ZB_2	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_37	ZB_38	ZB_40	ZB_41	ZB_42	ZB_44	ZB_45	ZB_48	ZB_50	ZB_51	ZB_53	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_63	ZB_64
ZB_2	0	0.657736737637617	0	0.741419297150787	0.657736737637617	0.630663395509968	0.630663395509968	0.630663395509968	0	0.715771691835168	0.939466361106564	0	0	0.630663395509968	0	0.0270733421276491	0.77206300122016	0	0.657736737637617	0.657736737637617	0.630663395509968	0.939466361106564	0.681456748476817	0.94320962375224	0.657736737637617	0.715771691835168	0.630663395509968	0.720965323249164	0.94320962375224	0	0.630663395509968	0.94320962375224	0.657736737637617	0.741419297150787	0.630663395509968	0.630663395509968	0	0.939466361106564	0.630663395509968	0.698297436909003	0.698297436909003	0.94320962375224	0.715771691835168	0.704331691718563	0.630663395509968	1	0.630663395509968	0.630663395509968	0.630663395509968	0
ZB_4	0.657736737637617	0	0.657736737637617	0.486003110419907	0	0.0733026236731424	0.0733026236731424	0.0733026236731424	0.657736737637617	0.373657612128869	0.855109183993313	0.657736737637617	0.657736737637617	0.0733026236731424	0.657736737637617	0.648212679143911	0.603686307998861	0.657736737637617	0	0	0.0733026236731424	0.855109183993313	0.178687651618247	0.874853352585507	0	0.373657612128869	0.0733026236731424	0.506084543125534	0.874853352585507	0.657736737637617	0.0733026236731424	0.874853352585507	0	0.486003110419907	0.0733026236731424	0.0733026236731424	0.657736737637617	0.855109183993313	0.0733026236731424	0.256425662594299	0.256425662594299	0.874853352585507	0.373657612128869	0.446619358953915	0.0733026236731424	1	0.0733026236731424	0.0733026236731424	0.0733026236731424	0.657736737637617
ZB_5	0	0.657736737637617	0	0.741419297150787	0.657736737637617	0.630663395509968	0.630663395509968	0.630663395509968	0	0.715771691835168	0.939466361106564	0	0	0.630663395509968	0	0.0270733421276491	0.77206300122016	0	0.657736737637617	0.657736737637617	0.630663395509968	0.939466361106564	0.681456748476817	0.94320962375224	0.657736737637617	0.715771691835168	0.630663395509968	0.720965323249164	0.94320962375224	0	0.630663395509968	0.94320962375224	0.657736737637617	0.741419297150787	0.630663395509968	0.630663395509968	0	0.939466361106564	0.630663395509968	0.698297436909003	0.698297436909003	0.94320962375224	0.715771691835168	0.704331691718563	0.630663395509968	1	0.630663395509968	0.630663395509968	0.630663395509968	0
ZB_6	0.741419297150787	0.486003110419907	0.741419297150787	0	0.486003110419907	0.506084543125534	0.506084543125534	0.506084543125534	0.741419297150787	0.179367547952307	0.702492038806191	0.741419297150787	0.741419297150787	0.506084543125534	0.741419297150787	0.736019854136754	0.136670936521492	0.741419297150787	0.486003110419907	0.486003110419907	0.506084543125534	0.702492038806191	0.374176109012812	0.590665037399096	0.486003110419907	0.179367547952307	0.506084543125534	0.039069171648164	0.590665037399096	0.741419297150787	0.506084543125534	0.590665037399096	0.486003110419907	0	0.506084543125534	0.506084543125534	0.741419297150787	0.702492038806191	0.506084543125534	0.603686307998861	0.603686307998861	0.590665037399096	0.179367547952307	0.146527184742385	0.506084543125534	0.888172998592905	0.506084543125534	0.506084543125534	0.506084543125534	0.741419297150787
ZB_7	0.657736737637617	0	0.657736737637617	0.486003110419907	0	0.0733026236731424	0.0733026236731424	0.0733026236731424	0.657736737637617	0.373657612128869	0.855109183993313	0.657736737637617	0.657736737637617	0.0733026236731424	0.657736737637617	0.648212679143911	0.603686307998861	0.657736737637617	0	0	0.0733026236731424	0.855109183993313	0.178687651618247	0.874853352585507	0	0.373657612128869	0.0733026236731424	0.506084543125534	0.874853352585507	0.657736737637617	0.0733026236731424	0.874853352585507	0	0.486003110419907	0.0733026236731424	0.0733026236731424	0.657736737637617	0.855109183993313	0.0733026236731424	0.256425662594299	0.256425662594299	0.874853352585507	0.373657612128869	0.446619358953915	0.0733026236731424	1	0.0733026236731424	0.0733026236731424	0.0733026236731424	0.657736737637617
ZB_8	0.630663395509968	0.0733026236731424	0.630663395509968	0.506084543125534	0.0733026236731424	0	0	0	0.630663395509968	0.403224419604471	0.862969367588933	0.630663395509968	0.630663395509968	0	0.630663395509968	0.657736737637617	0.564617136350697	0.630663395509968	0.0733026236731424	0.0733026236731424	0	0.862969367588933	0.228790488360465	0.880760963026655	0.0733026236731424	0.403224419604471	0	0.46701537147737	0.880760963026655	0.630663395509968	0	0.880760963026655	0.0733026236731424	0.506084543125534	0	0	0.630663395509968	0.862969367588933	0	0.183123038921156	0.183123038921156	0.880760963026655	0.403224419604471	0.402846435975124	0	1	0	0	0	0.630663395509968
ZB_9	0.630663395509968	0.0733026236731424	0.630663395509968	0.506084543125534	0.0733026236731424	0	0	0	0.630663395509968	0.403224419604471	0.862969367588933	0.630663395509968	0.630663395509968	0	0.630663395509968	0.657736737637617	0.564617136350697	0.630663395509968	0.0733026236731424	0.0733026236731424	0	0.862969367588933	0.228790488360465	0.880760963026655	0.0733026236731424	0.403224419604471	0	0.46701537147737	0.880760963026655	0.630663395509968	0	0.880760963026655	0.0733026236731424	0.506084543125534	0	0	0.630663395509968	0.862969367588933	0	0.183123038921156	0.183123038921156	0.880760963026655	0.403224419604471	0.402846435975124	0	1	0	0	0	0.630663395509968
ZB_10	0.630663395509968	0.0733026236731424	0.630663395509968	0.506084543125534	0.0733026236731424	0	0	0	0.630663395509968	0.403224419604471	0.862969367588933	0.630663395509968	0.630663395509968	0	0.630663395509968	0.657736737637617	0.564617136350697	0.630663395509968	0.0733026236731424	0.0733026236731424	0	0.862969367588933	0.228790488360465	0.880760963026655	0.0733026236731424	0.403224419604471	0	0.46701537147737	0.880760963026655	0.630663395509968	0	0.880760963026655	0.0733026236731424	0.506084543125534	0	0	0.630663395509968	0.862969367588933	0	0.183123038921156	0.183123038921156	0.880760963026655	0.403224419604471	0.402846435975124	0	1	0	0	0	0.630663395509968
ZB_11	0	0.657736737637617	0	0.741419297150787	0.657736737637617	0.630663395509968	0.630663395509968	0.630663395509968	0	0.715771691835168	0.939466361106564	0	0	0.630663395509968	0	0.0270733421276491	0.77206300122016	0	0.657736737637617	0.657736737637617	0.630663395509968	0.939466361106564	0.681456748476817	0.94320962375224	0.657736737637617	0.715771691835168	0.630663395509968	0.720965323249164	0.94320962375224	0	0.630663395509968	0.94320962375224	0.657736737637617	0.741419297150787	0.630663395509968	0.630663395509968	0	0.939466361106564	0.630663395509968	0.698297436909003	0.698297436909003	0.94320962375224	0.715771691835168	0.704331691718563	0.630663395509968	1	0.630663395509968	0.630663395509968	0.630663395509968	0
ZB_12	0.715771691835168	0.373657612128869	0.715771691835168	0.179367547952307	0.373657612128869	0.403224419604471	0.403224419604471	0.403224419604471	0.715771691835168	0	0.637465030231928	0.715771691835168	0.715771691835168	0.403224419604471	0.715771691835168	0.70923449135412	0.30903074295474	0.715771691835168	0.373657612128869	0.373657612128869	0.403224419604471	0.637465030231928	0.237388322353578	0.501195740456638	0.373657612128869	0	0.403224419604471	0.211428978081412	0.501195740456638	0.715771691835168	0.403224419604471	0.501195740456638	0.373657612128869	0.179367547952307	0.403224419604471	0.403224419604471	0.715771691835168	0.637465030231928	0.403224419604471	0.521152192605331	0.521152192605331	0.501195740456638	0	0.318886991175633	0.403224419604471	0.863730710224709	0.403224419604471	0.403224419604471	0.403224419604471	0.715771691835168
ZB_13	0.939466361106564	0.855109183993313	0.939466361106564	0.702492038806191	0.855109183993313	0.862969367588933	0.862969367588933	0.862969367588933	0.939466361106564	0.637465030231928	0	0.939466361106564	0.939466361106564	0.862969367588933	0.939466361106564	0.937980075805857	0.68319466897993	0.939466361106564	0.855109183993313	0.855109183993313	0.862969367588933	0	0.874853352585507	0.273191912795694	0.855109183993313	0.637465030231928	0.862969367588933	0.714115428408767	0.273191912795694	0.939466361106564	0.862969367588933	0.273191912795694	0.855109183993313	0.702492038806191	0.862969367588933	0.862969367588933	0.939466361106564	0	0.862969367588933	0.841487112076356	0.841487112076356	0.273191912795694	0.637465030231928	0.679696220698453	0.862969367588933	1	0.862969367588933	0.862969367588933	0.862969367588933	0.939466361106564
ZB_14	0	0.657736737637617	0	0.741419297150787	0.657736737637617	0.630663395509968	0.630663395509968	0.630663395509968	0	0.715771691835168	0.939466361106564	0	0	0.630663395509968	0	0.0270733421276491	0.77206300122016	0	0.657736737637617	0.657736737637617	0.630663395509968	0.939466361106564	0.681456748476817	0.94320962375224	0.657736737637617	0.715771691835168	0.630663395509968	0.720965323249164	0.94320962375224	0	0.630663395509968	0.94320962375224	0.657736737637617	0.741419297150787	0.630663395509968	0.630663395509968	0	0.939466361106564	0.630663395509968	0.698297436909003	0.698297436909003	0.94320962375224	0.715771691835168	0.704331691718563	0.630663395509968	1	0.630663395509968	0.630663395509968	0.630663395509968	0
ZB_15	0	0.657736737637617	0	0.741419297150787	0.657736737637617	0.630663395509968	0.630663395509968	0.630663395509968	0	0.715771691835168	0.939466361106564	0	0	0.630663395509968	0	0.0270733421276491	0.77206300122016	0	0.657736737637617	0.657736737637617	0.630663395509968	0.939466361106564	0.681456748476817	0.94320962375224	0.657736737637617	0.715771691835168	0.630663395509968	0.720965323249164	0.94320962375224	0	0.630663395509968	0.94320962375224	0.657736737637617	0.741419297150787	0.630663395509968	0.630663395509968	0	0.939466361106564	0.630663395509968	0.698297436909003	0.698297436909003	0.94320962375224	0.715771691835168	0.704331691718563	0.630663395509968	1	0.630663395509968	0.630663395509968	0.630663395509968	0
ZB_16	0.630663395509968	0.0733026236731424	0.630663395509968	0.506084543125534	0.0733026236731424	0	0	0	0.630663395509968	0.403224419604471	0.862969367588933	0.630663395509968	0.630663395509968	0	0.630663395509968	0.657736737637617	0.564617136350697	0.630663395509968	0.0733026236731424	0.0733026236731424	0	0.862969367588933	0.228790488360465	0.880760963026655	0.0733026236731424	0.403224419604471	0	0.46701537147737	0.880760963026655	0.630663395509968	0	0.880760963026655	0.0733026236731424	0.506084543125534	0	0	0.630663395509968	0.862969367588933	0	0.183123038921156	0.183123038921156	0.880760963026655	0.403224419604471	0.402846435975124	0	1	0	0	0	0.630663395509968
ZB_17	0	0.657736737637617	0	0.741419297150787	0.657736737637617	0.630663395509968	0.630663395509968	0.630663395509968	0	0.715771691835168	0.939466361106564	0	0	0.630663395509968	0	0.0270733421276491	0.77206300122016	0	0.657736737637617	0.657736737637617	0.630663395509968	0.939466361106564	0.681456748476817	0.94320962375224	0.657736737637617	0.715771691835168	0.630663395509968	0.720965323249164	0.94320962375224	0	0.630663395509968	0.94320962375224	0.657736737637617	0.741419297150787	0.630663395509968	0.630663395509968	0	0.939466361106564	0.630663395509968	0.698297436909003	0.698297436909003	0.94320962375224	0.715771691835168	0.704331691718563	0.630663395509968	1	0.630663395509968	0.630663395509968	0.630663395509968	0
ZB_18	0.0270733421276491	0.648212679143911	0.0270733421276491	0.736019854136754	0.648212679143911	0.657736737637617	0.657736737637617	0.657736737637617	0.0270733421276491	0.70923449135412	0.937980075805857	0.0270733421276491	0.0270733421276491	0.657736737637617	0.0270733421276491	0	0.792516975121783	0.0270733421276491	0.648212679143911	0.648212679143911	0.657736737637617	0.937980075805857	0.673222924538296	0.941903455210046	0.648212679143911	0.70923449135412	0.657736737637617	0.741419297150787	0.941903455210046	0.0270733421276491	0.657736737637617	0.941903455210046	0.648212679143911	0.736019854136754	0.657736737637617	0.657736737637617	0.0270733421276491	0.937980075805857	0.657736737637617	0.725370779036653	0.725370779036653	0.941903455210046	0.70923449135412	0.726004954452592	0.657736737637617	1	0.657736737637617	0.657736737637617	0.657736737637617	0.0270733421276491
