ZB_1	ZB_2	ZB_4	ZB_5	ZB_6	ZB_11	ZB_12	ZB_13	ZB_14	ZB_18	ZB_19	ZB_20	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_38	ZB_48	ZB_50	ZB_54	ZB_55	ZB_57	ZB_59	ZB_64
ZB_1	0	0.682037137751535	0.604570269095125	0.604570269095125	0.769490793239376	0.710460221443985	0.723100864358328	0.713214645616392	0.682037137751535	1	0.769490793239376	0.604570269095125	0.761825086205642	0.769490793239376	0.757607166654327	0.604570269095125	0.769490793239376	0.762881329570956	0.682037137751535	0.769490793239376	0.604570269095125	0.747321565981224	0.800453459456824	0.484419537175709	0.720333481395428	0.769490793239376	0.737968964839914	0.769490793239376	0.537407889033377
ZB_2	0.682037137751535	0	0.494107820529116	0.494107820529116	0.497705059668449	0.188678548342414	0.141010250253948	0.375075579442392	0	1	0.497705059668449	0.494107820529116	0.270511473249996	0.497705059668449	0.256565591982225	0.494107820529116	0.497705059668449	0.525579134942492	0	0.497705059668449	0.494107820529116	0.495370583099757	0.396459993252187	0.536013456126035	0.217523734881815	0.497705059668449	0.477265966181563	0.497705059668449	0.569973297936378
ZB_4	0.604570269095125	0.494107820529116	0	0	0.606631027593283	0.536630798143929	0.555702621675065	0.510594558280148	0.494107820529116	1	0.606631027593283	0	0.614753871681416	0.606631027593283	0.417784242579243	0	0.606631027593283	0.595351834159131	0.494107820529116	0.606631027593283	0	0.568798759337524	0.527341621032415	0.120150731919416	0.551518761167362	0.606631027593283	0.552838342172461	0.606631027593283	0.210576506285219
ZB_5	0.604570269095125	0.494107820529116	0	0	0.606631027593283	0.536630798143929	0.555702621675065	0.510594558280148	0.494107820529116	1	0.606631027593283	0	0.614753871681416	0.606631027593283	0.417784242579243	0	0.606631027593283	0.595351834159131	0.494107820529116	0.606631027593283	0	0.568798759337524	0.527341621032415	0.120150731919416	0.551518761167362	0.606631027593283	0.552838342172461	0.606631027593283	0.210576506285219
ZB_6	0.769490793239376	0.497705059668449	0.606631027593283	0.606631027593283	0	0.443123278794751	0.415249203520708	0.196230897996652	0.497705059668449	0.863631945569415	0	0.606631027593283	0.311442302500135	0	0.324358766672067	0.606631027593283	0	0.0278740752740429	0.497705059668449	0	0.606631027593283	0.0877369188401102	0.167752038447	0.552913224256169	0.421567039256979	0	0.120298072250122	0	0.50170095577515
ZB_11	0.710460221443985	0.188678548342414	0.536630798143929	0.536630798143929	0.443123278794751	0	0.0476682980884662	0.307168290225059	0.188678548342414	1	0.443123278794751	0.536630798143929	0.19124174600436	0.443123278794751	0.308005930318755	0.536630798143929	0.443123278794751	0.427155775768214	0.188678548342414	0.443123278794751	0.536630798143929	0.389565649749618	0.330876437154499	0.572034223744643	0.132987603452563	0.443123278794751	0.366971125515616	0.443123278794751	0.601091018427043
ZB_12	0.723100864358328	0.141010250253948	0.555702621675065	0.555702621675065	0.415249203520708	0.0476682980884662	0	0.272489082969432	0.141010250253948	1	0.415249203520708	0.555702621675065	0.150759916558182	0.415249203520708	0.269740548554485	0.555702621675065	0.415249203520708	0.443123278794751	0.141010250253948	0.415249203520708	0.555702621675065	0.407664384505813	0.297383924632114	0.588354363050737	0.170988503404826	0.415249203520708	0.38641312755096	0.415249203520708	0.615307080525793
ZB_13	0.713214645616392	0.375075579442392	0.510594558280148	0.510594558280148	0.196230897996652	0.307168290225059	0.272489082969432	0	0.375075579442392	1	0.196230897996652	0.510594558280148	0.35570046527125	0.196230897996652	0.159408800806181	0.510594558280148	0.196230897996652	0.224104973270695	0.375075579442392	0.196230897996652	0.510594558280148	0.174700179203235	0.197377345692969	0.443762176687941	0.280349344978166	0.196230897996652	0.145090852838631	0.196230897996652	0.380047027208599
ZB_14	0.682037137751535	0	0.494107820529116	0.494107820529116	0.497705059668449	0.188678548342414	0.141010250253948	0.375075579442392	0	1	0.497705059668449	0.494107820529116	0.270511473249996	0.497705059668449	0.256565591982225	0.494107820529116	0.497705059668449	0.525579134942492	0	0.497705059668449	0.494107820529116	0.495370583099757	0.396459993252187	0.536013456126035	0.217523734881815	0.497705059668449	0.477265966181563	0.497705059668449	0.569973297936378
ZB_18	1	1	1	1	0.863631945569415	1	1	1	1	0	0.863631945569415	1	0.943732282375717	0.863631945569415	1	1	0.863631945569415	0.859721821050059	1	0.863631945569415	1	0.85051674539191	0.952476056996029	1	1	0.863631945569415	0.954795920634568	0.863631945569415	1
ZB_19	0.769490793239376	0.497705059668449	0.606631027593283	0.606631027593283	0	0.443123278794751	0.415249203520708	0.196230897996652	0.497705059668449	0.863631945569415	0	0.606631027593283	0.311442302500135	0	0.324358766672067	0.606631027593283	0	0.0278740752740429	0.497705059668449	0	0.606631027593283	0.0877369188401102	0.167752038447	0.552913224256169	0.421567039256979	0	0.120298072250122	0	0.50170095577515
ZB_20	0.604570269095125	0.494107820529116	0	0	0.606631027593283	0.536630798143929	0.555702621675065	0.510594558280148	0.494107820529116	1	0.606631027593283	0	0.614753871681416	0.606631027593283	0.417784242579243	0	0.606631027593283	0.595351834159131	0.494107820529116	0.606631027593283	0	0.568798759337524	0.527341621032415	0.120150731919416	0.551518761167362	0.606631027593283	0.552838342172461	0.606631027593283	0.210576506285219
ZB_25	0.761825086205642	0.270511473249996	0.614753871681416	0.614753871681416	0.311442302500135	0.19124174600436	0.150759916558182	0.35570046527125	0.270511473249996	0.943732282375717	0.311442302500135	0.614753871681416	0	0.311442302500135	0.360826347616205	0.614753871681416	0.311442302500135	0.339316377774178	0.270511473249996	0.311442302500135	0.614753871681416	0.399179221340245	0.172653188341855	0.639545113462882	0.287318063037417	0.311442302500135	0.272034936992039	0.311442302500135	0.660380808425569
ZB_26	0.769490793239376	0.497705059668449	0.606631027593283	0.606631027593283	0	0.443123278794751	0.415249203520708	0.196230897996652	0.497705059668449	0.863631945569415	0	0.606631027593283	0.311442302500135	0	0.324358766672067	0.606631027593283	0	0.0278740752740429	0.497705059668449	0	0.606631027593283	0.0877369188401102	0.167752038447	0.552913224256169	0.421567039256979	0	0.120298072250122	0	0.50170095577515
ZB_27	0.757607166654327	0.256565591982225	0.417784242579243	0.417784242579243	0.324358766672067	0.308005930318755	0.269740548554485	0.159408800806181	0.256565591982225	1	0.324358766672067	0.417784242579243	0.360826347616205	0.324358766672067	0	0.417784242579243	0.324358766672067	0.352232841946109	0.256565591982225	0.324358766672067	0.417784242579243	0.310986536782613	0.188173159274351	0.460664840453098	0.278413639733136	0.324358766672067	0.286266763449433	0.324358766672067	0.390449396609166
ZB_29	0.604570269095125	0.494107820529116	0	0	0.606631027593283	0.536630798143929	0.555702621675065	0.510594558280148	0.494107820529116	1	0.606631027593283	0	0.614753871681416	0.606631027593283	0.417784242579243	0	0.606631027593283	0.595351834159131	0.494107820529116	0.606631027593283	0	0.568798759337524	0.527341621032415	0.120150731919416	0.551518761167362	0.606631027593283	0.552838342172461	0.606631027593283	0.210576506285219
ZB_30	0.769490793239376	0.497705059668449	0.606631027593283	0.606631027593283	0	0.443123278794751	0.415249203520708	0.196230897996652	0.497705059668449	0.863631945569415	0	0.606631027593283	0.311442302500135	0	0.324358766672067	0.606631027593283	0	0.0278740752740429	0.497705059668449	0	0.606631027593283	0.0877369188401102	0.167752038447	0.552913224256169	0.421567039256979	0	0.120298072250122	0	0.50170095577515
ZB_32	0.762881329570956	0.525579134942492	0.595351834159131	0.595351834159131	0.0278740752740429	0.427155775768214	0.443123278794751	0.224104973270695	0.525579134942492	0.859721821050059	0.0278740752740429	0.595351834159131	0.339316377774178	0.0278740752740429	0.352232841946109	0.595351834159131	0.0278740752740429	0	0.525579134942492	0.0278740752740429	0.595351834159131	0.061579309885129	0.195626113721043	0.540093763192392	0.404981447330415	0.0278740752740429	0.0950740995845091	0.0278740752740429	0.487413069078143
ZB_33	0.682037137751535	0	0.494107820529116	0.494107820529116	0.497705059668449	0.188678548342414	0.141010250253948	0.375075579442392	0	1	0.497705059668449	0.494107820529116	0.270511473249996	0.497705059668449	0.256565591982225	0.494107820529116	0.497705059668449	0.525579134942492	0	0.497705059668449	0.494107820529116	0.495370583099757	0.396459993252187	0.536013456126035	0.217523734881815	0.497705059668449	0.477265966181563	0.497705059668449	0.569973297936378
ZB_34	0.769490793239376	0.497705059668449	0.606631027593283	0.606631027593283	0	0.443123278794751	0.415249203520708	0.196230897996652	0.497705059668449	0.863631945569415	0	0.606631027593283	0.311442302500135	0	0.324358766672067	0.606631027593283	0	0.0278740752740429	0.497705059668449	0	0.606631027593283	0.0877369188401102	0.167752038447	0.552913224256169	0.421567039256979	0	0.120298072250122	0	0.50170095577515
ZB_35	0.604570269095125	0.494107820529116	0	0	0.606631027593283	0.536630798143929	0.555702621675065	0.510594558280148	0.494107820529116	1	0.606631027593283	0	0.614753871681416	0.606631027593283	0.417784242579243	0	0.606631027593283	0.595351834159131	0.494107820529116	0.606631027593283	0	0.568798759337524	0.527341621032415	0.120150731919416	0.551518761167362	0.606631027593283	0.552838342172461	0.606631027593283	0.210576506285219
ZB_38	0.747321565981224	0.495370583099757	0.568798759337524	0.568798759337524	0.0877369188401102	0.389565649749618	0.407664384505813	0.174700179203235	0.495370583099757	0.85051674539191	0.0877369188401102	0.568798759337524	0.399179221340245	0.0877369188401102	0.310986536782613	0.568798759337524	0.0877369188401102	0.061579309885129	0.495370583099757	0.0877369188401102	0.568798759337524	0	0.255488957287111	0.509914645262871	0.365936238472375	0.0877369188401102	0.156653409469638	0.0877369188401102	0.453777035905814
ZB_48	0.800453459456824	0.396459993252187	0.527341621032415	0.527341621032415	0.167752038447	0.330876437154499	0.297383924632114	0.197377345692969	0.396459993252187	0.952476056996029	0.167752038447	0.527341621032415	0.172653188341855	0.167752038447	0.188173159274351	0.527341621032415	0.167752038447	0.195626113721043	0.396459993252187	0.167752038447	0.527341621032415	0.255488957287111	0	0.555999804963675	0.30497521476214	0.167752038447	0.113711817413758	0.167752038447	0.49819591398898
