ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.256062180228569	0.457935616909153	0.323806148464027	0.519185546314884	0.560927703179718	0.460929560648387	0.323806148464027	0.648616799037773	0.5450521941163	0.462644299629075	0.571767717821519	0.277202545694657	0.143066536377365	0.945262925009302	0.294011288281902	0.465332393194844	0.548875800154055	0.228848528806383	0.648616799037773	0.423968990587124	0.405203189895313	0.388336763291519	0.382636987585793	0.555542307970229	0.70805450587864	0.648616799037773	0.349725964894921	0.52864224683709	0.945262925009302	0.53200440175153	0.54668710480935	0.525352383281225	0.512018122989905	0.437671431491579	0.143066536377365	0.437895105283153	0.944128515705194	0.524015036506904	0.944128515705194	0.426665955807157	0.476183299580841	0.208865560863593	0.443216477764808	0.496760641444228	0.435215016108699	0.43755913635953	0.50700801756415	0.414659732496746	0.445429996624536	0.648616799037773	0.465214972323862	0.525352383281225	0.648616799037773	0.486984129643514	0.940157549570944	0.43809653780623	0.940157549570944	0.50700801756415	0.420267978789097	0.944128515705194	0.521764060141533
ZB_2	0.256062180228569	0	0.437594087860955	0.502934510139446	0.302949205735044	0.608096175824762	0.440686501347415	0.502934510139446	0.65855632053375	0.365959446271732	0.52846547501413	0.581275720164609	0.214174484590252	0.296663214301797	0.807501824050941	0.23399955189143	0.596435781922175	0.61723443766483	0.161815843853039	0.65855632053375	0.568594158466576	0.383152459434713	0.511701125838054	0.46287796503276	0.591831564627739	0.662641884864107	0.65855632053375	0.483937254280593	0.623624395598066	0.807501824050941	0.611123174347784	0.604143868625305	0.621202508204482	0.291244788564622	0.416667455262934	0.296663214301797	0.565046798200603	0.891120225019249	0.57954498704077	0.891120225019249	0.506449149977185	0.456027737431476	0.345703606819864	0.42239307349572	0.566903388655655	0.408385070695669	0.416551508726763	0.283037431736275	0.496828869493126	0.521539189236537	0.65855632053375	0.530591544983063	0.621202508204482	0.65855632053375	0.629117340710294	0.913863101125069	0.583875301742911	0.913863101125069	0.283037431736275	0.398700684286766	0.891120225019249	0.299680514714011
ZB_3	0.457935616909153	0.437594087860955	0	0.267899912736185	0.594883972244341	0.546160835817845	0.0997322741465872	0.267899912736185	0.624167960082918	0.550870954769615	0.386339011350113	0.622694178905511	0.270134965014492	0.416720495056828	0.784464565320989	0.351499629305116	0.357113715693138	0.46575997219084	0.308936137132196	0.624167960082918	0.383889415514745	0.119737094548178	0.177777370568546	0.198548543926645	0.589801883728483	0.569617353498048	0.624167960082918	0.224744552200472	0.512575678572463	0.784464565320989	0.339262682717111	0.324274192440335	0.519810405260566	0.574532592218292	0.0741405849153412	0.416720495056828	0.432624176527591	0.809455436659467	0.40375110629751	0.809455436659467	0.0988052481125852	0.657527665854471	0.456840461923457	0.0613440347919568	0.388571755955791	0.394400562425044	0.0489296257558222	0.584711587048626	0.0998520847387346	0.135661435174608	0.624167960082918	0.320179884623182	0.519810405260566	0.624167960082918	0.420435815121395	0.889472022973282	0.460737673750475	0.889472022973282	0.584711587048626	0.147019136776074	0.809455436659467	0.578545893838909
ZB_4	0.323806148464027	0.502934510139446	0.267899912736185	0	0.678908561499084	0.562674297648778	0.273350492349086	0	0.51477025909314	0.681963427050232	0.413847609892424	0.548460552510295	0.386907013988587	0.258441053674194	0.923463074413634	0.423817479530255	0.281327841164534	0.548726008949792	0.365621095195448	0.51477025909314	0.204551109198378	0.168316553236965	0.134963582648375	0.304377484534143	0.556472612392046	0.62125236195675	0.51477025909314	0.0556659881052169	0.525313001605136	0.923463074413634	0.43470469327191	0.421000078314668	0.521476363459842	0.673675781167137	0.230445955176788	0.258441053674194	0.380738243439203	0.92122668133204	0.493196462846175	0.92122668133204	0.209684854720498	0.629473111267439	0.322101112906738	0.240793273859187	0.316404841291433	0.408548056772719	0.230235630201792	0.670009492194413	0.186689126473925	0.244902909522654	0.51477025909314	0.417249210548355	0.521476363459842	0.51477025909314	0.365011541145526	0.913096235979723	0.416559391168391	0.913096235979723	0.670009492194413	0.197476255088195	0.92122668133204	0.664593530944412
ZB_5	0.519185546314884	0.302949205735044	0.594883972244341	0.678908561499084	0	0.761496349756928	0.597197873663971	0.678908561499084	0.650227656417865	0.302349347045029	0.730696876590451	0.752265602947512	0.370039080756954	0.46378308990435	0.741796289980575	0.38371557126635	0.741396048633496	0.760921333936736	0.323147408903291	0.650227656417865	0.72289422488021	0.553984877659325	0.676383305313939	0.694067564326584	0.751598081608007	0.622022766859269	0.650227656417865	0.657201701319348	0.770946467028694	0.741796289980575	0.713672705797042	0.733204356335061	0.769472562085146	0.0530250487322319	0.579199487987397	0.46378308990435	0.767243140192006	0.856521649100284	0.759361567380378	0.856521649100284	0.664819515674195	0.407509352986777	0.464246533862169	0.583495358526423	0.721767793920156	0.630472221016223	0.57911245925211	0.0383161078900933	0.658028905303774	0.675450472962535	0.650227656417865	0.731887566480128	0.769472562085146	0.650227656417865	0.7378795678811	0.88491162491878	0.753803621653145	0.88491162491878	0.0383161078900933	0.527017225274869	0.856521649100284	0.0606399857649135
ZB_6	0.560927703179718	0.608096175824762	0.546160835817845	0.562674297648778	0.761496349756928	0	0.498416157820573	0.562674297648778	0.56684880372269	0.644341493979346	0.312913474260747	0.150964031450312	0.611380732047769	0.625212894005668	0.938392996717211	0.575466713064099	0.375248418419593	0.0965593276592823	0.636150688550789	0.56684880372269	0.439551855194829	0.575669328323156	0.500939004815409	0.435067232837933	0.0504986952005337	0.47363531894277	0.56684880372269	0.53445072714247	0.0496869983948636	0.938392996717211	0.298261542980746	0.303324717683621	0.0577046548956661	0.771735689747665	0.544210510620215	0.625212894005668	0.283150080256822	0.928491633533136	0.191382811778824	0.928491633533136	0.52555421185752	0.602904875652908	0.57325114728623	0.536400981130387	0.375841363409876	0.455080541508006	0.532678252700798	0.778716300642749	0.529712452690852	0.486584202590849	0.56684880372269	0.308382565617404	0.0577046548956661	0.56684880372269	0.302134831460674	0.924587658032751	0.236087479935795	0.924587658032751	0.778716300642749	0.556249882573978	0.928491633533136	0.776473716451368
ZB_7	0.460929560648387	0.440686501347415	0.0997322741465872	0.273350492349086	0.597197873663971	0.498416157820573	0	0.273350492349086	0.626525542156203	0.599784799859794	0.3809570329846	0.575312750836939	0.274425914607526	0.420185572770897	0.786069254442813	0.28513526734343	0.361014463006443	0.461371339184844	0.312981818884402	0.626525542156203	0.387754257026034	0.126290765460007	0.18381960613116	0.191964843474151	0.543353687177078	0.56395128678619	0.626525542156203	0.230516429040917	0.464221544609374	0.786069254442813	0.333834909716251	0.318723293167173	0.471669487292274	0.577023397801264	0.0809444121071013	0.420185572770897	0.387563973439914	0.865949606612887	0.398853087731918	0.865949606612887	0.192091833782705	0.659314685736181	0.410888103651354	0.0682418994955374	0.392407225298898	0.388135312848931	0.056010467409132	0.587142801939834	0.194250631235464	0.128561134642085	0.626525542156203	0.314595351751848	0.471669487292274	0.626525542156203	0.355911927469681	0.890294918023724	0.402248408979649	0.890294918023724	0.587142801939834	0.153174286581844	0.865949606612887	0.581049618414152
ZB_8	0.323806148464027	0.502934510139446	0.267899912736185	0	0.678908561499084	0.562674297648778	0.273350492349086	0	0.51477025909314	0.681963427050232	0.413847609892424	0.548460552510295	0.386907013988587	0.258441053674194	0.923463074413634	0.423817479530255	0.281327841164534	0.548726008949792	0.365621095195448	0.51477025909314	0.204551109198378	0.168316553236965	0.134963582648375	0.304377484534143	0.556472612392046	0.62125236195675	0.51477025909314	0.0556659881052169	0.525313001605136	0.923463074413634	0.43470469327191	0.421000078314668	0.521476363459842	0.673675781167137	0.230445955176788	0.258441053674194	0.380738243439203	0.92122668133204	0.493196462846175	0.92122668133204	0.209684854720498	0.629473111267439	0.322101112906738	0.240793273859187	0.316404841291433	0.408548056772719	0.230235630201792	0.670009492194413	0.186689126473925	0.244902909522654	0.51477025909314	0.417249210548355	0.521476363459842	0.51477025909314	0.365011541145526	0.913096235979723	0.416559391168391	0.913096235979723	0.670009492194413	0.197476255088195	0.92122668133204	0.664593530944412
ZB_10	0.648616799037773	0.65855632053375	0.624167960082918	0.51477025909314	0.650227656417865	0.56684880372269	0.626525542156203	0.51477025909314	0	0.432505698289407	0.491712542923825	0.489831747626413	0.676941467214656	0.620089819255859	0.913956907317536	0.693880927533281	0.376796801905248	0.608673592010041	0.667298329091513	0	0.310219149894762	0.582052811741606	0.568341837802916	0.640052675948142	0.543811899901716	0.289562079688615	0	0.536503430024922	0.588370786516854	0.913956907317536	0.509798955351553	0.497914871955517	0.585043810325159	0.644009256580851	0.608116914855486	0.620089819255859	0.463001450102345	0.911120182887002	0.560520633397313	0.911120182887002	0.599330357142857	0.309768931594601	0.647862305226018	0.612525439109913	0.306023868156848	0.597865581810076	0.608027507985138	0.639641591754268	0.589688623026884	0.614281819785436	0	0.690846072114066	0.585043810325159	0	0.449363895002416	0.900630756451333	0.494064089095384	0.900630756451333	0.639641591754268	0.594199719939939	0.911120182887002	0.633173168637924
ZB_11	0.5450521941163	0.365959446271732	0.550870954769615	0.681963427050232	0.302349347045029	0.644341493979346	0.599784799859794	0.681963427050232	0.432505698289407	0	0.529080653781235	0.632659492560297	0.419035088461506	0.500262242770694	0.807331430215318	0.415375080040061	0.577478828220252	0.617733805652221	0.381477286250105	0.432505698289407	0.547893463323475	0.576449276959218	0.668031480207407	0.644204570487774	0.629975275616083	0.395646960718039	0.432505698289407	0.6512303373015	0.658085860083332	0.807331430215318	0.542187318947569	0.533551679488156	0.655940353070127	0.270812587134037	0.596852818284027	0.500262242770694	0.618951036222274	0.829670937617562	0.580093525870462	0.829670937617562	0.613792727333747	0.177819823408352	0.531213177381144	0.588064034366452	0.54609495995398	0.624846233075213	0.584337629902428	0.282402797140897	0.619167354541029	0.624781437357603	0.432505698289407	0.684381042498046	0.655940353070127	0.432505698289407	0.612134549359469	0.901198300471354	0.634858877929142	0.901198300471354	0.282402797140897	0.58588191694282	0.829670937617562	0.299060612095864
