ZB_1	ZB_2	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_15	ZB_17	ZB_19	ZB_20	ZB_21	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_41	ZB_42	ZB_43	ZB_44	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_59
ZB_1	0	0.805585970963844	0.903042225813251	0.819169572546937	0.581850750263063	0.903042225813251	0.825877325151357	0.458474853631041	0.458474853631041	0.576541538000159	0.52040784988176	0.89414677470375	0.87179084263063	0.574113193988428	0.905148918541776	0.367075166369686	0.902942417616143	0.906007937933042	0.575821098332947	0.581850750263063	0.571474938764205	0.367075166369686	0.581850750263063	0.677009774404078	0.49670946481132	0.581850750263063	0.89763991908294	0.8310425279853	0.89414677470375	0.55566650831661	0.551388185959077	0.590902109993114	0.458474853631041	1	0.458474853631041	0.458474853631041	0.536121707456303	0.903042225813251	0.458474853631041	0.904410068227513	0.903042225813251	0.311996799883632	0.572080006818763	0.574738880177162	0.454649149958157	0.551140796745897	0.636470867262234
ZB_2	0.805585970963844	0	0.835186311126553	0.833184782880324	0.777883205907219	0.835186311126553	0.84783896433995	0.894065159524613	0.894065159524613	0.762842417067736	0.7799095263438	0.597587942101048	0.554807838834537	0.773773091647979	0.672280032317412	0.903187786092153	0.83489770836279	0.843576109805861	0.738517193724088	0.777883205907219	0.721299322707821	0.903187786092153	0.777883205907219	0.79011362152279	0.767276933144623	0.777883205907219	0.818942999248578	0.816126781254591	0.597587942101048	0.793843660124123	0.800501693898557	0.787752200294291	0.894065159524613	1	0.894065159524613	0.894065159524613	0.711610878661088	0.835186311126553	0.894065159524613	0.667693188435837	0.835186311126553	0.743051025381472	0.760082838256213	0.774105450035414	0.711960821246939	0.761570378785653	0.751313473187441
ZB_3	0.903042225813251	0.835186311126553	0	0.789084822762867	0.895845117967994	0	0.842429592408372	0.906641320418817	0.906641320418817	0.882747208664839	0.861859221284199	0.760424229033174	0.79124074243394	0.893917805503587	0.459486758625043	0.917117599785695	0.651983508571203	0.126058997652343	0.904115143838675	0.895845117967994	0.897742015422516	0.917117599785695	0.895845117967994	0.884891506009518	0.885106731451657	0.895845117967994	0.462973359191589	0.387356445207685	0.760424229033174	0.889323005031654	0.927427677873338	0.766909412645477	0.906641320418817	1	0.906641320418817	0.906641320418817	0.875494182329625	0	0.906641320418817	0.44711352189074	0	0.866449654687019	0.902348031129955	0.894073654811502	0.899588564473667	0.923016839275832	0.883386053860062
ZB_4	0.819169572546937	0.833184782880324	0.789084822762867	0	0.79612125856857	0.789084822762867	0.493712615044974	0.857659548702216	0.857659548702216	0.778550824787063	0.729595314636517	0.842126610714174	0.743152696499663	0.792348626581259	0.843542422334359	0.870770786912161	0.614958979907688	0.800846644465767	0.764820723253102	0.79612125856857	0.75779134412049	0.870770786912161	0.79612125856857	0.774680030114813	0.782743124213554	0.79612125856857	0.765965349818259	0.671281585716447	0.842126610714174	0.783354500534835	0.852324749159363	0.861733819915096	0.857659548702216	0.854726353316726	0.857659548702216	0.857659548702216	0.798910434067475	0.789084822762867	0.857659548702216	0.841549833394706	0.789084822762867	0.829632096852441	0.670301216951005	0.812844795601214	0.837968257673007	0.781147880817835	0.771733171710018
ZB_6	0.581850750263063	0.777883205907219	0.895845117967994	0.79612125856857	0	0.895845117967994	0.896778765152759	0.773561666332135	0.773561666332135	0.494306881010164	0.246023636175635	0.86529326253429	0.501076583398719	0.0181681051523943	0.807303736413457	0.735342955677609	0.896334750530689	0.880821609522593	0.372665121739078	0	0.41426564239184	0.735342955677609	0	0.0951590241410142	0.483097032400903	0	0.920974520859564	0.829991058883638	0.86529326253429	0.0589292556976808	0.686957526656083	0.553157065610763	0.773561666332135	0.97038179175106	0.773561666332135	0.773561666332135	0.435490149566021	0.895845117967994	0.773561666332135	0.811616152400416	0.895845117967994	0.712311978054729	0.501073542202678	0.0167235370326442	0.598227590946968	0.068417787347408	0.10684025813672
ZB_7	0.903042225813251	0.835186311126553	0	0.789084822762867	0.895845117967994	0	0.842429592408372	0.906641320418817	0.906641320418817	0.882747208664839	0.861859221284199	0.760424229033174	0.79124074243394	0.893917805503587	0.459486758625043	0.917117599785695	0.651983508571203	0.126058997652343	0.904115143838675	0.895845117967994	0.897742015422516	0.917117599785695	0.895845117967994	0.884891506009518	0.885106731451657	0.895845117967994	0.462973359191589	0.387356445207685	0.760424229033174	0.889323005031654	0.927427677873338	0.766909412645477	0.906641320418817	1	0.906641320418817	0.906641320418817	0.875494182329625	0	0.906641320418817	0.44711352189074	0	0.866449654687019	0.902348031129955	0.894073654811502	0.899588564473667	0.923016839275832	0.883386053860062
ZB_8	0.825877325151357	0.84783896433995	0.842429592408372	0.493712615044974	0.896778765152759	0.842429592408372	0	0.805755395683453	0.805755395683453	0.795881670184808	0.863097518967736	0.865386567662031	0.923162268583984	0.894868729169506	0.894547891980323	0.82937852013858	0.841997753038505	0.854621203815371	0.83546071097882	0.896778765152759	0.892144205471279	0.82937852013858	0.896778765152759	0.885923341668683	0.800308295139645	0.896778765152759	0.816720638180239	0.674647430223638	0.865386567662031	0.890315116613506	0.852143504075677	0.891993383974516	0.805755395683453	1	0.805755395683453	0.805755395683453	0.817148921727606	0.842429592408372	0.805755395683453	0.892821264852257	0.842429592408372	0.841028970218291	0.793113327156581	0.895023181440002	0.881208731976823	0.889197932887396	0.884431384433087
ZB_10	0.458474853631041	0.894065159524613	0.906641320418817	0.857659548702216	0.773561666332135	0.906641320418817	0.805755395683453	0	0	0.552221841340863	0.699674493084491	0.915208871918077	0.937036508841985	0.769371585037975	0.927787329718291	0.144408439051296	0.906489895428261	0.911060433295325	0.639047115799475	0.773561666332135	0.613411214953271	0.144408439051296	0.773561666332135	0.749747922884569	0.56193261044791	0.773561666332135	0.898179025888548	0.843596976793698	0.915208871918077	0.759382240879521	0.276653000952066	0.49324848567345	0	1	0	0	0.598876204739765	0.906641320418817	0	0.926981804450948	0.906641320418817	0.212903157605421	0.546148875993563	0.769710409842911	0.436401483612141	0.756931454258768	0.746474988678423
ZB_11	0.458474853631041	0.894065159524613	0.906641320418817	0.857659548702216	0.773561666332135	0.906641320418817	0.805755395683453	0	0	0.552221841340863	0.699674493084491	0.915208871918077	0.937036508841985	0.769371585037975	0.927787329718291	0.144408439051296	0.906489895428261	0.911060433295325	0.639047115799475	0.773561666332135	0.613411214953271	0.144408439051296	0.773561666332135	0.749747922884569	0.56193261044791	0.773561666332135	0.898179025888548	0.843596976793698	0.915208871918077	0.759382240879521	0.276653000952066	0.49324848567345	0	1	0	0	0.598876204739765	0.906641320418817	0	0.926981804450948	0.906641320418817	0.212903157605421	0.546148875993563	0.769710409842911	0.436401483612141	0.756931454258768	0.746474988678423
ZB_12	0.576541538000159	0.762842417067736	0.882747208664839	0.778550824787063	0.494306881010164	0.882747208664839	0.795881670184808	0.552221841340863	0.552221841340863	0	0.329298445875904	0.733619595744553	0.72612565364266	0.484949387320192	0.720537763811816	0.583685587761675	0.903451068813415	0.85522386396559	0.193902433112435	0.494306881010164	0.244960535195564	0.583685587761675	0.494306881010164	0.4411248689199	0.119923063159778	0.494306881010164	0.843728387488649	0.762101357224042	0.733619595744553	0.505532134128336	0.617694780188747	0.25493637315861	0.552221841340863	1	0.552221841340863	0.552221841340863	0.153336726822382	0.882747208664839	0.552221841340863	0.728438189476499	0.882747208664839	0.536875637962558	0.177752647837599	0.485706067382369	0.44738430478807	0.518089516295929	0.498210787514692
