ZB_1	ZB_3	ZB_6	ZB_12	ZB_13	ZB_15	ZB_16	ZB_17	ZB_19	ZB_25	ZB_26	ZB_27	ZB_30	ZB_32	ZB_33	ZB_34	ZB_41	ZB_48	ZB_54	ZB_55	ZB_56
ZB_1	0	1	0.735817627382759	0	0.532485439201236	1	0	0.532485439201236	1	0.735817627382759	0.735817627382759	0.622112908804427	0.735817627382759	1	1	0.532485439201236	1	0.735817627382759	0.735817627382759	1	0
ZB_3	1	0	0.565078384223748	1	1	1	1	1	1	0.565078384223748	0.565078384223748	0.377887091195573	0.565078384223748	1	1	1	0	0.565078384223748	0.565078384223748	1	1
ZB_6	0.735817627382759	0.565078384223748	0	0.735817627382759	0.434921615776252	0.699103988393493	0.735817627382759	0.434921615776252	0.699103988393493	0	0	0.300896011606507	0	0.699103988393493	0.699103988393493	0.434921615776252	0.565078384223748	0	0	0.699103988393493	0.735817627382759
ZB_12	0	1	0.735817627382759	0	0.532485439201236	1	0	0.532485439201236	1	0.735817627382759	0.735817627382759	0.622112908804427	0.735817627382759	1	1	0.532485439201236	1	0.735817627382759	0.735817627382759	1	0
ZB_13	0.532485439201236	1	0.434921615776252	0.532485439201236	0	0.467514560798764	0.532485439201236	0	0.467514560798764	0.434921615776252	0.434921615776252	0.735817627382759	0.434921615776252	0.467514560798764	0.467514560798764	0	1	0.434921615776252	0.434921615776252	0.467514560798764	0.532485439201236
ZB_15	1	1	0.699103988393493	1	0.467514560798764	0	1	0.467514560798764	0	0.699103988393493	0.699103988393493	1	0.699103988393493	0	0	0.467514560798764	1	0.699103988393493	0.699103988393493	0	1
ZB_16	0	1	0.735817627382759	0	0.532485439201236	1	0	0.532485439201236	1	0.735817627382759	0.735817627382759	0.622112908804427	0.735817627382759	1	1	0.532485439201236	1	0.735817627382759	0.735817627382759	1	0
ZB_17	0.532485439201236	1	0.434921615776252	0.532485439201236	0	0.467514560798764	0.532485439201236	0	0.467514560798764	0.434921615776252	0.434921615776252	0.735817627382759	0.434921615776252	0.467514560798764	0.467514560798764	0	1	0.434921615776252	0.434921615776252	0.467514560798764	0.532485439201236
ZB_19	1	1	0.699103988393493	1	0.467514560798764	0	1	0.467514560798764	0	0.699103988393493	0.699103988393493	1	0.699103988393493	0	0	0.467514560798764	1	0.699103988393493	0.699103988393493	0	1
ZB_25	0.735817627382759	0.565078384223748	0	0.735817627382759	0.434921615776252	0.699103988393493	0.735817627382759	0.434921615776252	0.699103988393493	0	0	0.300896011606507	0	0.699103988393493	0.699103988393493	0.434921615776252	0.565078384223748	0	0	0.699103988393493	0.735817627382759
ZB_26	0.735817627382759	0.565078384223748	0	0.735817627382759	0.434921615776252	0.699103988393493	0.735817627382759	0.434921615776252	0.699103988393493	0	0	0.300896011606507	0	0.699103988393493	0.699103988393493	0.434921615776252	0.565078384223748	0	0	0.699103988393493	0.735817627382759
ZB_27	0.622112908804427	0.377887091195573	0.300896011606507	0.622112908804427	0.735817627382759	1	0.622112908804427	0.735817627382759	1	0.300896011606507	0.300896011606507	0	0.300896011606507	1	1	0.735817627382759	0.377887091195573	0.300896011606507	0.300896011606507	1	0.622112908804427
ZB_30	0.735817627382759	0.565078384223748	0	0.735817627382759	0.434921615776252	0.699103988393493	0.735817627382759	0.434921615776252	0.699103988393493	0	0	0.300896011606507	0	0.699103988393493	0.699103988393493	0.434921615776252	0.565078384223748	0	0	0.699103988393493	0.735817627382759
ZB_32	1	1	0.699103988393493	1	0.467514560798764	0	1	0.467514560798764	0	0.699103988393493	0.699103988393493	1	0.699103988393493	0	0	0.467514560798764	1	0.699103988393493	0.699103988393493	0	1
ZB_33	1	1	0.699103988393493	1	0.467514560798764	0	1	0.467514560798764	0	0.699103988393493	0.699103988393493	1	0.699103988393493	0	0	0.467514560798764	1	0.699103988393493	0.699103988393493	0	1
ZB_34	0.532485439201236	1	0.434921615776252	0.532485439201236	0	0.467514560798764	0.532485439201236	0	0.467514560798764	0.434921615776252	0.434921615776252	0.735817627382759	0.434921615776252	0.467514560798764	0.467514560798764	0	1	0.434921615776252	0.434921615776252	0.467514560798764	0.532485439201236
ZB_41	1	0	0.565078384223748	1	1	1	1	1	1	0.565078384223748	0.565078384223748	0.377887091195573	0.565078384223748	1	1	1	0	0.565078384223748	0.565078384223748	1	1
ZB_48	0.735817627382759	0.565078384223748	0	0.735817627382759	0.434921615776252	0.699103988393493	0.735817627382759	0.434921615776252	0.699103988393493	0	0	0.300896011606507	0	0.699103988393493	0.699103988393493	0.434921615776252	0.565078384223748	0	0	0.699103988393493	0.735817627382759
ZB_54	0.735817627382759	0.565078384223748	0	0.735817627382759	0.434921615776252	0.699103988393493	0.735817627382759	0.434921615776252	0.699103988393493	0	0	0.300896011606507	0	0.699103988393493	0.699103988393493	0.434921615776252	0.565078384223748	0	0	0.699103988393493	0.735817627382759
ZB_55	1	1	0.699103988393493	1	0.467514560798764	0	1	0.467514560798764	0	0.699103988393493	0.699103988393493	1	0.699103988393493	0	0	0.467514560798764	1	0.699103988393493	0.699103988393493	0	1
ZB_56	0	1	0.735817627382759	0	0.532485439201236	1	0	0.532485439201236	1	0.735817627382759	0.735817627382759	0.622112908804427	0.735817627382759	1	1	0.532485439201236	1	0.735817627382759	0.735817627382759	1	0
