 OTUID	FS0916	CS0908	QQ0718	CS0617	JZ0520	JZ0701	FS0610	FS0702	QH0615	BJ0815	BJ0613	FS0617	FS0716	WZ0519	WZ0728	QH0720	BJ0718	QQ0627	QH0714	CS0715	WZ0630	FS0729	QH0518	QH0601	QQ0829	JZ0729	CS0701	BJ0606	WZ0811	WZ0825	FS0819	QQ0801	WZ0602	BJ0704	WZ0616	QH0525	FS0527	JZ0715	JZ0916	JZ0617	QH0803	JZ0603	CS0825	QH0817	CS0520	BJ0530	CS0527	BJ0516	QQ0615	WZ0714	QQ0913	QQ0815	BJ0919	QQ0926	JZ0527	WZ0505	JZ0819	QQ0710	BJ0801	FS0520	WZ0915	CS0603	QH0629	CS0917
OTU_3113	0	0	0	0	4	1	0	0	0	0	3	0	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	22	0	4	0	8	0	1	5	0	1	0	0	0	0	0	2	0	0	0	0	11	0	0	26	1	0	0	0	1	0	0	0
OTU_1153	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_422	3	0	0	0	0	0	0	0	97	0	0	1	0	0	0	7	0	0	47	0	0	19	41	1	0	0	0	0	0	0	15	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3043	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_862	0	0	0	2	0	0	0	3	3	0	1	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	2	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	10	0
OTU_962	42	2	0	0	0	10	20	14	0	0	0	9	14	0	0	1	0	1	1	2	0	10	0	0	1	11	1	0	1	1	31	0	2	0	3	0	0	9	5	1	1	39	0	0	0	0	0	0	0	5	0	1	0	0	18	0	2	0	0	30	0	0	2	0
OTU_1710	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	2	0	0	0	0	3	0	2	1	1	1	1	0	2	1	0	2	1	1	4	1	0	0	0	0	0	0	1	0	0	0	2	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1467	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	1	0	0
OTU_474	7	0	1	0	0	0	37	22	0	0	0	9	4	0	0	1	0	1	0	2	0	9	0	1	2	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	21	0	0	0	3	0	0	0	0	4	0	1	3	2	0	0	1	1	26	0	0	0	0
OTU_1375	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
OTU_2689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
